drugbank_id,partner_id,substrate,inducer,inhibitor
DB00252,BE0003660,0,0,1
DB00252,BE0001032,1,0,0
DB00252,BE0001069,1,0,0
DB00253,BE0003642,1,0,0
DB00253,BE0001032,1,0,0
DB00253,BE0003645,1,0,0
DB00254,BE0001066,0,0,1
DB00254,BE0002369,0,1,0
DB00255,BE0001067,0,0,1
DB00255,BE0001032,1,0,0
DB00255,BE0001004,0,0,1
DB00255,BE0001042,1,0,0
DB00255,BE0000703,1,0,0
DB00257,BE0001032,0,1,1
DB00257,BE0000703,1,0,1
DB00257,BE0001004,1,0,1
DB00257,BE0003659,0,1,0
DB00260,BE0004704,0,0,0
DB00264,BE0003647,0,0,1
DB00270,BE0000703,1,0,0
DB00273,BE0001032,1,0,0
DB00273,BE0004907,0,1,0
DB00274,BE0001018,0,0,1
DB00274,BE0001134,0,0,1
DB00275,BE0001069,1,1,0
DB00275,BE0003659,1,0,0
DB00275,BE0001004,1,0,0
DB00275,BE0000703,0,0,1
DB00276,BE0001032,0,0,1
DB00277,BE0003646,0,0,1
DB00279,BE0003642,1,0,0
DB00279,BE0001004,1,0,0
DB00279,BE0003659,1,0,0
DB00279,BE0003653,1,0,0
DB00279,BE0003644,1,0,0
DB00279,BE0003660,1,0,1
DB00279,BE0003656,1,0,1
DB00279,BE0003645,0,0,1
DB00279,BE0003654,0,0,1
DB00279,BE0001032,0,1,0
DB00279,BE0000222,0,0,0
DB00280,BE0003648,0,0,1
DB00280,BE0003647,0,0,1
DB00281,BE0000106,0,0,1
DB00281,BE0001032,0,0,1
DB00285,BE0001032,1,0,1
DB00285,BE0001067,0,1,0
DB00286,BE0001061,0,0,1
DB00286,BE0001188,0,0,1
DB00286,BE0000785,0,0,1
DB00286,BE0003642,1,0,1
DB00286,BE0003644,0,0,1
DB00286,BE0003652,0,0,1
DB00286,BE0003645,1,0,1
DB00286,BE0003660,1,0,1
DB00286,BE0001004,1,0,1
DB00286,BE0001042,1,0,0
DB00286,BE0001032,1,0,0
DB00286,BE0001066,1,0,0
DB00286,BE0003667,1,0,0
DB00286,BE0003668,1,0,0
DB00286,BE0001069,1,0,0
DB00286,BE0003656,1,0,0
DB00286,BE0003658,1,0,0
DB00286,BE0003659,1,0,0
DB00286,BE0000879,1,0,0
DB00286,BE0003661,1,0,0
DB00286,BE0001067,1,0,0
DB00291,BE0003642,0,0,0
DB00295,BE0001032,1,0,0
DB00300,BE0001066,1,0,0
DB00300,BE0003645,1,0,0
